,convocatoria,region,motivo,resolucion_ret_beca,fec_resolucion_ret_beca,fec_Postulacion,tipoinstitucion,institucioneducativa,institucionsede,carreradescripcion,genero
947,Beca 18 Modalidad Ordinaria 2012,AYACUCHO,1,RESOLUCION JEFATURAL,2014-04,2012-04,Instituto de Educación Superior Tecnológico,HUANTA,SEDE AYACUCHO,COMPUTACION E INFORMATICA,MASCULINO
948,Beca 18 VRAEM 2012-01,AYACUCHO,1,RESOLUCION JEFATURAL,,2012-08,Instituto de Educación Superior Tecnológico,HUANTA,SEDE AYACUCHO,COMPUTACION E INFORMATICA,MASCULINO
949,Beca 18 Modalidad Ordinaria 2012,AYACUCHO,1,RESOLUCION JEFATURAL,2013-11,2012-04,Instituto de Educación Superior Tecnológico,HUANTA,SEDE AYACUCHO,INDUSTRIAS ALIMENTARIAS,MASCULINO
954,Beca 18 FFAA (2da Convocatoria) 2012-02,HUANCAVELICA,0,RESOLUCION JEFATURAL,2013-05,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),ELECTRICISTA INDUSTRIAL,MASCULINO
955,Beca 18 FFAA (2da Convocatoria) 2012-02,HUANCAVELICA,0,RESOLUCION JEFATURAL,2015-01,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO DE MANTENIMIENTO,MASCULINO
956,Beca 18 FFAA (2da Convocatoria) 2012-02,HUANCAVELICA,1,RESOLUCION JEFATURAL,2014-03,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),ELECTRICISTA INDUSTRIAL,MASCULINO
957,Beca 18 FFAA (2da Convocatoria) 2012-02,HUANCAVELICA,1,RESOLUCION JEFATURAL,2014-03,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO DE MANTENIMIENTO,MASCULINO
958,Beca 18 FFAA (2da Convocatoria) 2012-02,HUANCAVELICA,1,RESOLUCION JEFATURAL,2014-05,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
959,Beca 18 FFAA (2da Convocatoria) 2012-02,HUANCAVELICA,1,RESOLUCION JEFATURAL,2015-02,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO DE MANTENIMIENTO,MASCULINO
960,Beca 18 FFAA (2da Convocatoria) 2012-02,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2012-10,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),ELECTRICISTA INDUSTRIAL,MASCULINO
961,Beca 18 FFAA (2da Convocatoria) 2012-02,HUANCAVELICA,0,RESOLUCION JEFATURAL,2015-02,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),ELECTRICISTA INDUSTRIAL,MASCULINO
962,Beca 18 FFAA (2da Convocatoria) 2012-02,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
963,Beca 18 FFAA (2da Convocatoria) 2012-02,HUANCAVELICA,0,RESOLUCION JEFATURAL,2015-04,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO DE MANTENIMIENTO,MASCULINO
965,Beca 18 FFAA (2da Convocatoria) 2012-02,HUANCAVELICA,0,RESOLUCION JEFATURAL,2013-12,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),ELECTRICISTA INDUSTRIAL,MASCULINO
967,Beca 18 FFAA (2da Convocatoria) 2012-02,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),ELECTRICISTA INDUSTRIAL,MASCULINO
969,Beca 18 FFAA (2da Convocatoria) 2012-02,HUANCAVELICA,0,RESOLUCION JEFATURAL,2014-05,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),ELECTRICISTA INDUSTRIAL,MASCULINO
971,Beca 18 Modalidad Ordinaria 2012,AYACUCHO,1,RESOLUCION JEFATURAL,2013-08,2012-04,Instituto de Educación Superior Tecnológico,HUANTA,SEDE AYACUCHO,COMPUTACION E INFORMATICA,MASCULINO
973,Beca 18 FFAA 2013-01,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2013-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO DE MANTENIMIENTO,MASCULINO
974,Beca 18 FFAA 2013-01,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2013-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
975,Beca 18 FFAA 2013-01,HUANCAVELICA,0,RESOLUCION JEFATURAL,2014-11,2013-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO DE MANTENIMIENTO,MASCULINO
976,Beca 18 VRAEM 2012-01,HUANCAVELICA,1,RESOLUCION JEFATURAL,,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
979,Beca 18 Modalidad Ordinaria 2013,HUANCAVELICA,1,RESOLUCION JEFATURAL,,2013-03,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),ELECTRICISTA INDUSTRIAL,MASCULINO
980,Beca 18 Modalidad Ordinaria 2013,HUANCAVELICA,1,RESOLUCION JEFATURAL,2014-09,2013-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),ELECTRICISTA INDUSTRIAL,MASCULINO
982,Beca 18 Modalidad Ordinaria 2013,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2013-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
983,Beca 18 Modalidad Ordinaria 2013,HUANCAVELICA,0,RESOLUCION JEFATURAL,2013-09,2013-03,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
984,Beca 18 Modalidad Ordinaria 2013,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2013-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO DE MANTENIMIENTO,MASCULINO
986,Beca 18 FFAA 2013-01,HUANCAVELICA,1,RESOLUCION JEFATURAL,2014-03,2013-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO DE MANTENIMIENTO,MASCULINO
987,Beca 18 FFAA 2013-01,HUANCAVELICA,1,RESOLUCION JEFATURAL,2015-02,2013-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),ELECTRICISTA INDUSTRIAL,MASCULINO
990,Beca 18 Modalidad Ordinaria 2013,HUANCAVELICA,0,RESOLUCION JEFATURAL,2014-12,2013-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
993,Beca 18 Modalidad Ordinaria 2013,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2013-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),ELECTRICISTA INDUSTRIAL,MASCULINO
996,Beca 18 Modalidad Ordinaria 2013,HUANCAVELICA,0,RESOLUCION JEFATURAL,2013-12,2013-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO DE MANTENIMIENTO,MASCULINO
997,Beca 18 VRAEM 2014-01,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO DE MANTENIMIENTO,MASCULINO
998,Beca 18 VRAEM 2014-01,HUANCAVELICA,0,,,2014-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO DE MANTENIMIENTO,MASCULINO
999,Beca 18 VRAEM 2014-01,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
1001,Beca 18 VRAEM 2014-01,HUANCAVELICA,0,RESOLUCION JEFATURAL,2014-11,2014-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),ELECTRICISTA INDUSTRIAL,MASCULINO
1003,Beca 18 FFAA 2014-01,HUANCAVELICA,1,RESOLUCION JEFATURAL,,2013-11,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
1004,Beca 18 FFAA 2014-01,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2013-11,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
1005,Beca 18 FFAA 2014-01,HUANCAVELICA,0,RESOLUCION JEFATURAL,2014-06,2013-11,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
1006,Beca 18 FFAA 2014-01,HUANCAVELICA,0,RESOLUCION JEFATURAL,2014-06,2013-11,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),ELECTRICISTA INDUSTRIAL,MASCULINO
1008,Beca 18 FFAA 2014-01,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2013-11,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),ELECTRICISTA INDUSTRIAL,MASCULINO
1009,Beca 18 VRAEM 2013-01,HUANCAVELICA,0,RESOLUCION JEFATURAL,2015-04,2013-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),ELECTRICIDAD INDUSTRIAL,MASCULINO
1014,Beca 18 Modalidad Ordinaria 2014,HUANCAVELICA,0,RESOLUCION JEFATURAL,2014-10,2014-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
1015,Beca 18 Modalidad Ordinaria 2014,HUANCAVELICA,0,,,2014-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
1016,Beca 18 Modalidad Ordinaria 2014,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),ELECTRICISTA INDUSTRIAL,MASCULINO
1017,Beca 18 Modalidad Ordinaria 2014,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2014-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
1018,Beca 18 Modalidad Ordinaria 2014,HUANCAVELICA,0,RESOLUCION JEFATURAL,2014-10,2014-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),TEXTILERIA DE FIBRA DE CAMELIDOS ANDINOS,MASCULINO
1019,Beca 18 Modalidad Ordinaria 2014,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
1020,Beca 18 Modalidad Ordinaria 2014,HUANCAVELICA,1,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO DE MANTENIMIENTO,MASCULINO
1022,Beca 18 VRAEM 2015,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
1024,Beca 18 VRAEM 2015,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO DE MANTENIMIENTO,MASCULINO
1029,Beca 18 VRAEM 2015,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),ELECTRICISTA INDUSTRIAL,MASCULINO
1031,Beca 18 VRAEM 2015,HUANCAVELICA,0,,,2015-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
1032,Beca 18 Modalidad Ordinaria 2014,AYACUCHO,0,RESOLUCION JEFATURAL,2014-11,2014-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1033,Beca 18 Modalidad Ordinaria 2014,AYACUCHO,0,RESOLUCION JEFATURAL,2014-11,2014-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO DE MANTENIMIENTO,MASCULINO
1034,Beca 18 Modalidad Ordinaria 2014,AYACUCHO,0,RESOLUCION JEFATURAL,2014-11,2014-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO DE MANTENIMIENTO,MASCULINO
1035,Beca 18 Modalidad Ordinaria 2014,AYACUCHO,0,RESOLUCION JEFATURAL,2014-10,2014-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1038,Beca 18 Reparaciones 2013-01,AYACUCHO,1,RESOLUCION JEFATURAL,,2013-03,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1042,Beca 18 Reparaciones 2013-01,AYACUCHO,0,RESOLUCION JEFATURAL,2013-07,2013-03,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO DE MANTENIMIENTO,MASCULINO
1043,Beca 18 Reparaciones 2013-01,AYACUCHO,0,RESOLUCION JEFATURAL,,2013-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),ELECTRICIDAD INDUSTRIAL,MASCULINO
1044,Beca 18 FFAA 2014-01,AYACUCHO,0,RESOLUCION JEFATURAL,2014-07,2013-12,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1045,Beca 18 FFAA 2014-01,AYACUCHO,0,RESOLUCION JEFATURAL,,2013-12,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO DE MANTENIMIENTO,MASCULINO
1046,Beca 18 FFAA 2014-01,AYACUCHO,0,RESOLUCION JEFATURAL,2014-11,2013-12,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1047,Beca 18 VRAEM 2014-01,AYACUCHO,0,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO DE MANTENIMIENTO,MASCULINO
1049,Beca 18 VRAEM 2014-01,AYACUCHO,0,RESOLUCION JEFATURAL,2014-07,2014-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1052,Beca 18 Albergue 2014-01,AYACUCHO,1,,,2014-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1053,Beca 18 FFAA 2013-01,AYACUCHO,1,,,2013-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1054,Beca 18 FFAA 2013-01,AYACUCHO,0,RESOLUCION JEFATURAL,,2013-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1055,Beca 18 FFAA 2013-01,AYACUCHO,0,RESOLUCION JEFATURAL,,2013-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO DE MANTENIMIENTO,MASCULINO
1056,Beca 18 FFAA 2013-01,AYACUCHO,0,RESOLUCION JEFATURAL,,2013-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1060,Beca 18 Modalidad Ordinaria 2013,AYACUCHO,0,RESOLUCION JEFATURAL,2013-12,2013-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),ELECTRICISTA INDUSTRIAL,MASCULINO
1061,Beca 18 FFAA (2da Convocatoria) 2012-02,AYACUCHO,0,RESOLUCION JEFATURAL,,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1062,Beca 18 FFAA (2da Convocatoria) 2012-02,AYACUCHO,0,RESOLUCION JEFATURAL,2013-08,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),ELECTRICISTA INDUSTRIAL,MASCULINO
1063,Beca 18 FFAA (2da Convocatoria) 2012-02,AYACUCHO,0,RESOLUCION JEFATURAL,2013-03,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1064,Beca 18 Modalidad Ordinaria 2012,AYACUCHO,0,RESOLUCION JEFATURAL,2013-11,2012-04,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO DE MANTENIMIENTO,MASCULINO
1066,Beca 18 FFAA (2da Convocatoria) 2012-02,AYACUCHO,1,RESOLUCION JEFATURAL,,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1067,Beca 18 FFAA (2da Convocatoria) 2012-02,AYACUCHO,0,RESOLUCION JEFATURAL,2013-10,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1068,Beca 18 FFAA (2da Convocatoria) 2012-02,AYACUCHO,1,RESOLUCION JEFATURAL,2013-10,2012-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1072,Beca 18 Modalidad Ordinaria 2012,AYACUCHO,0,RESOLUCION JEFATURAL,2013-11,2012-03,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1073,Beca 18 Modalidad Ordinaria 2012,AYACUCHO,0,RESOLUCION JEFATURAL,2013-08,2012-03,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1074,Beca 18 Modalidad Ordinaria 2012,AYACUCHO,0,RESOLUCION JEFATURAL,2014-08,2012-03,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1075,Beca 18 Modalidad Ordinaria 2012,AYACUCHO,0,RESOLUCION JEFATURAL,2015-02,2012-03,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1076,Beca 18 FFAA 2013-01,AYACUCHO,0,RESOLUCION JEFATURAL,2013-10,2013-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1077,Beca 18 FFAA 2013-01,AYACUCHO,0,RESOLUCION JEFATURAL,2015-02,2013-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO DE MANTENIMIENTO,MASCULINO
1078,Beca 18 FFAA 2013-01,AYACUCHO,0,RESOLUCION JEFATURAL,2013-10,2013-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO DE MANTENIMIENTO,MASCULINO
1079,Beca 18 FFAA 2013-01,AYACUCHO,0,RESOLUCION JEFATURAL,2015-02,2013-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO DE MANTENIMIENTO,MASCULINO
1080,Beca 18 FFAA 2013-01,AYACUCHO,0,RESOLUCION JEFATURAL,2014-05,2013-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO DE MANTENIMIENTO,MASCULINO
1082,Beca 18 Ordinaria 2015,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
1083,Beca Extraordinaria FFAA 2015,HUANCAVELICA,1,RESOLUCION JEFATURAL,,2015-04,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
1085,Beca 18 Reparaciones 2013-01,HUANCAVELICA,0,RESOLUCION JEFATURAL,2014-11,2013-03,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),MECANICO AUTOMOTRIZ,MASCULINO
1086,Beca Doble Oportunidad 2015,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2015-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),SOLDADOR ESTRUCTURAL,MASCULINO
1087,Beca 18 FFAA 2013-01,AYACUCHO,0,RESOLUCION JEFATURAL,2014-11,2013-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1088,Beca 18 FFAA 2013-01,AYACUCHO,0,RESOLUCION JEFATURAL,,2013-02,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),ELECTRICISTA INDUSTRIAL,MASCULINO
1089,Beca 18 Reparaciones 2012-01,AYACUCHO,0,RESOLUCION JEFATURAL,,2012-10,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1092,Beca 18 Modalidad Ordinaria 2012,AYACUCHO,1,RESOLUCION JEFATURAL,2013-11,2012-03,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1093,Beca 18 Modalidad Ordinaria 2012,AYACUCHO,1,RESOLUCION JEFATURAL,2013-11,2012-04,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1094,Beca 18 Modalidad Ordinaria 2012,AYACUCHO,1,RESOLUCION JEFATURAL,2013-08,2012-04,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),ELECTRICISTA INDUSTRIAL,MASCULINO
1095,Beca 18 Modalidad Ordinaria 2012,AYACUCHO,1,RESOLUCION JEFATURAL,2013-08,2012-04,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO DE MANTENIMIENTO,MASCULINO
1096,Beca Doble Oportunidad 2015,AYACUCHO,0,RESOLUCION JEFATURAL,,2015-09,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),CONFECCIONISTA DE PRENDAS DE VESTIR,MASCULINO
1097,Beca Doble Oportunidad 2015,HUANCAVELICA,1,RESOLUCION JEFATURAL,,2015-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),SOLDADOR ESTRUCTURAL,MASCULINO
1100,Beca Doble Oportunidad 2015,AYACUCHO,0,RESOLUCION JEFATURAL,,2015-08,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),CONFECCIONISTA DE PRENDAS DE VESTIR,MASCULINO
1105,Beca Extraordinaria FFAA 2015,AYACUCHO,0,RESOLUCION JEFATURAL,,2015-04,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1110,Beca 18 FFAA 2015,AYACUCHO,0,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),ELECTRICISTA INDUSTRIAL,MASCULINO
1111,Beca 18 FFAA 2015,AYACUCHO,1,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1112,Beca 18 FFAA 2015,AYACUCHO,0,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
1113,Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,AYACUCHO,0,RESOLUCION JEFATURAL,2015-08,2014-11,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),SOPORTE TECNICO DE COMPUTADORAS,MASCULINO
1114,Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,AYACUCHO,0,RESOLUCION JEFATURAL,2015-08,2014-11,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),EDICION DE VIDEOS,MASCULINO
1115,Beca Doble Oportunidad 2015,HUANCAVELICA,0,RESOLUCION JEFATURAL,,2015-09,Instituto de Educación Superior Tecnológico,SENATI,SEDE HUANCAVELICA (CFP Huancavelica),SOLDADOR ESTRUCTURAL,MASCULINO
1117,Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,AYACUCHO,0,RESOLUCION JEFATURAL,2015-08,2014-10,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),SOPORTE TECNICO DE COMPUTADORAS,MASCULINO
1118,Beca 18 Ordinaria 2015,AYACUCHO,0,,,2015-01,Instituto de Educación Superior Tecnológico,SENATI,SEDE AYACUCHO (CFP Ayacucho),MECANICO AUTOMOTRIZ,MASCULINO
