convocatoria,region,motivo,resolucion_ret_beca,fec_resolucion_ret_beca,fec_Postulacion,tipoinstitucion,institucioneducativa,institucionsede,carreradescripcion,genero
Beca Docente de Postgrado para estudios de MaestrÃ­a en Ciencias de la EducaciÃ³n en el PerÃº 2014-01,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-10,2014-04,Universidad,DE PIURA,SEDE PIURA,MAESTRIA EN CIENCIAS DE EDUCACION CON MENCION EN DIDACTICA DE LA ENSEÃ‘ANZA EN MATEMATICAS EN EDUCACION SECUNDARIA,MASCULINO
Beca Docente de Postgrado para estudios de MaestrÃ­a en Ciencias de la EducaciÃ³n en el PerÃº 2014-01,PIURA,Becarios que fallecieron,RESOLUCION JEFATURAL,2015-04,2014-04,Universidad,DE PIURA,SEDE PIURA,MAESTRIA EN CIENCIAS DE EDUCACION CON MENCION EN DIDACTICA DE LA ENSEÃ‘ANZA EN MATEMATICAS EN EDUCACION SECUNDARIA,MASCULINO
Beca Docente de Postgrado para estudios de MaestrÃ­a en Ciencias de la EducaciÃ³n en el PerÃº 2014-01,PIURA,Becarios que abandonaron los estudios (Recibieron subvencion),RESOLUCION JEFATURAL,,2014-04,Universidad,DE PIURA,SEDE PIURA,MAESTRIA EN CIENCIAS DE EDUCACION CON MENCION EN DIDACTICA DE LA ENSEÃ‘ANZA EN MATEMATICAS EN EDUCACION SECUNDARIA,MASCULINO
Beca Docente de Postgrado para estudios de MaestrÃ­a en Ciencias de la EducaciÃ³n en el PerÃº 2014-01,PIURA,Becarios que abandonaron los estudios (Recibieron subvencion),RESOLUCION JEFATURAL,,2014-04,Universidad,DE PIURA,SEDE PIURA,MAESTRIA EN CIENCIAS DE EDUCACION CON MENCION EN DIDACTICA DE LA ENSEÃ‘ANZA EN MATEMATICAS EN EDUCACION PRIMARIA,MASCULINO
Beca Excelencia AcadÃ©mica 2014-01,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-10,Universidad,DE PIURA,SEDE PIURA,ARQUITECTURA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-03,Universidad,DE PIURA,SEDE PIURA,ARQUITECTURA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,PIURA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-09,2014-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
Beca 18 Ordinaria 2015,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2015-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,PIURA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2014-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,PIURA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-11,2014-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,PIURA,Becarios que renunciaron,RESOLUCION JEFATURAL,2014-05,2014-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA MECANICA - ELECTRICO,MASCULINO
Beca 18 Modalidad Ordinaria 2014,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
VocaciÃ³n de Maestro 2014-01,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-10,Universidad,DE PIURA,SEDE PIURA,EDUCACION SECUNDARIA CON ESPECIALIDAD EN LENGUA INGLESA,MASCULINO
VocaciÃ³n de Maestro 2014-01,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-10,Universidad,DE PIURA,SEDE PIURA,EDUCACION SECUNDARIA CON ESPECIALIDAD EN MATEMATICA Y FISICA,MASCULINO
VocaciÃ³n de Maestro 2014-01,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-10,Universidad,DE PIURA,SEDE PIURA,EDUCACION SECUNDARIA CON ESPECIALIDAD EN LENGUA INGLESA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
VocaciÃ³n de Maestro 2014-01,PIURA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2014-10,Universidad,DE PIURA,SEDE PIURA,EDUCACION SECUNDARIA CON ESPECIALIDAD EN MATEMATICA Y FISICA,MASCULINO
VocaciÃ³n de Maestro 2014-01,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-10,Universidad,DE PIURA,SEDE PIURA,EDUCACION PRIMARIA,MASCULINO
VocaciÃ³n de Maestro 2014-01,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-10,Universidad,DE PIURA,SEDE PIURA,EDUCACION PRIMARIA,MASCULINO
Beca Excelencia AcadÃ©mica 2014-01,PIURA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2014-10,Universidad,DE PIURA,SEDE PIURA,ARQUITECTURA,MASCULINO
Beca Excelencia AcadÃ©mica 2014-01,PIURA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2014-10,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
VocaciÃ³n de Maestro 2014-01,PIURA,Becarios que fallecieron,RESOLUCION JEFATURAL,,2014-10,Universidad,DE PIURA,SEDE PIURA,EDUCACION SECUNDARIA CON ESPECIALIDAD EN LENGUA Y LITERATURA,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA MECANICA - ELECTRICO,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-09,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca Bicentenario de la Independencia del PerÃº 2011-01,PIURA,Becarios que renunciaron,RESOLUCION JEFATURAL,,2013-08,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2012,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2013-09,2012-04,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que renunciaron,RESOLUCION JEFATURAL,2013-11,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios declarados nulos,,2013-08,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que renunciaron,RESOLUCION JEFATURAL,2013-11,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios declarados nulos,,2013-09,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios declarados nulos,,2013-08,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-09,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA MECANICA - ELECTRICO,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-05,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2015-02,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2015-02,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-09,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2013-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-09,2013-01,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca Especial Reparaciones en EducaciÃ³n 2014-01,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ADMINISTRACION Y SISTEMAS,MASCULINO
Beca Especial Reparaciones en EducaciÃ³n 2014-01,LIMA,Becarios que renunciaron,RESOLUCION JEFATURAL,2015-03,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ELECTRONICA INDUSTRIAL,MASCULINO
Beca Especial Reparaciones en EducaciÃ³n 2014-01,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2015-04,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,DISEÃ‘O GRAFICO,MASCULINO
Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,Becario Egresado Aprobado,CIERRE DE BECA,,2014-10,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,MANTENIMIENTO Y REPARACION DE EQUIPOS,MASCULINO
Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,Becario Egresado Aprobado,CIERRE DE BECA,,2014-10,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,MANTENIMIENTO Y REPARACION DE EQUIPOS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ADMINISTRACION Y SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ELECTRONICA INDUSTRIAL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ELECTRONICA INDUSTRIAL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ELECTROTECNIA INDUSTRIAL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ELECTRONICA INDUSTRIAL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,REDES Y COMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ADMINISTRACION Y SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2015-04,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ADMINISTRACION Y SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2015-02,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ELECTRONICA INDUSTRIAL,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-09,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2013,PIURA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-09,2013-02,Universidad,DE PIURA,SEDE PIURA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que renunciaron,RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ELECTRONICA INDUSTRIAL,MASCULINO
Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2015-08,2014-12,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,MANTENIMIENTO Y REPARACION DE EQUIPOS,MASCULINO
Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,Becario Egresado Aprobado,CIERRE DE BECA,,2014-12,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ESPECIALISTA EN ELECTRICIDAD BASICA,MASCULINO
Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,Becario Egresado Aprobado,CIERRE DE BECA,,2014-12,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ESPECIALISTA EN ELECTRICIDAD BASICA,MASCULINO
Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,Becario Egresado Aprobado,CIERRE DE BECA,,2014-12,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,MANTENIMIENTO Y REPARACION DE EQUIPOS,MASCULINO
Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2015-08,2014-11,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ESPECIALISTA EN ELECTRICIDAD BASICA,MASCULINO
Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2015-08,2014-11,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ESPECIALISTA EN ELECTRICIDAD BASICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2015-02,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ADMINISTRACION Y SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ELECTROTECNIA INDUSTRIAL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ELECTRONICA INDUSTRIAL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2015-04,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,COMPUTACION E INFORMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,COMPUTACION E INFORMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-12,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ADMINISTRACION Y SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2015-03,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ADMINISTRACION Y SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2015-03,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ADMINISTRACION Y SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ADMINISTRACION Y SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,DISEÃ‘O GRAFICO,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-12,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ADMINISTRACION Y SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ADMINISTRACION Y SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ELECTRONICA INDUSTRIAL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2015-03,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,COMPUTACION E INFORMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2015-03,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,DISEÃ‘O DE INTERIORES,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2015-03,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ADMINISTRACION Y SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ADMINISTRACION Y SISTEMAS,MASCULINO
Beca 18 Huallaga 2014-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-09,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ELECTRONICA INDUSTRIAL,MASCULINO
Beca 18 Huallaga 2014-01,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,COMPUTACION E INFORMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2015-03,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,COMPUTACION E INFORMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ELECTRONICA INDUSTRIAL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2015-04,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,REDES Y COMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,COMPUTACION E INFORMATICA,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-02,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,REDES Y COMUNICACIONES,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2014-03,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ELECTRONICA INDUSTRIAL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2015-04,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ADMINISTRACION Y SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2015-02,2014-01,Instituto de EducaciÃ³n Superior TecnolÃ³gico,CIBERTEC,SEDE LIMA,ELECTRONICA INDUSTRIAL,MASCULINO
